Name,Primitive/Category,Counterfactual Question,If We Don't Invest,What Fills The Vacuum,Vacuum D/acc Score,Net D/acc Impact of Inaction,Strategic Implication,Related Investment Thesis
ZK Infrastructure Vacuum,Zero-Knowledge Proofs,"What happens if d/acc-aligned capital doesn't fund ZK development?","ZK development continues but driven by VC seeking returns; privacy features deprioritized for speed-to-market","Enterprise ZK solutions (IBM, Microsoft); compliance-first ZK (Chainalysis-friendly); centralized prover networks",2,"Negative - ZK becomes surveillance-compatible infrastructure rather than privacy-preserving","Critical to fund - vacuum would be filled by captured alternatives",Zero-Knowledge Infrastructure
Decentralized Identity Vacuum,Decentralized Identity (DID),"What if self-sovereign identity doesn't achieve adoption?","Government digital ID systems and Big Tech identity providers become default","Apple/Google passkeys; EU digital identity wallet (centralized); China-style social credit systems",1,"Strongly Negative - identity becomes control infrastructure rather than user-empowering","High priority - counterfactual is clearly worse; timing matters",Decentralized Identity & Attestation
FHE Development Vacuum,Fully Homomorphic Encryption (FHE),"What if FHE remains underfunded and doesn't reach performance thresholds?","Institutions either accept on-chain transparency or stay off-chain entirely","Trusted execution environments (Intel SGX successors); permissioned chains; traditional finance rails",2,"Moderately Negative - privacy-preserving computation doesn't develop; institutions stay TradFi","Important but timing uncertain - monitor performance trajectory",Privacy-Preserving Computation
Decentralized Stablecoin Vacuum,Stablecoins,"What if decentralized stablecoins fail to scale?","Centralized stablecoins (USDC, USDT) dominate entirely; regulatory capture complete","CBDC integration; fully surveilled payment rails; bank-issued stablecoins",1,"Strongly Negative - monetary infrastructure becomes surveillance tool","Moderate priority - market size justifies multiple attempts; failure mode is bad",Decentralized Stablecoin Mechanisms
Oracle Decentralization Vacuum,Oracle Infrastructure,"What if decentralized oracle alternatives don't compete with Chainlink?","Chainlink achieves near-monopoly; single point of failure for DeFi pricing","Chainlink-only ecosystem; exchange-native price feeds; centralized data providers",3,"Mildly Negative - concentration risk but Chainlink itself isn't captured (yet)","Lower priority - incumbent isn't actively bad; monitoring sufficient",Oracle Infrastructure (Emerging)
Quadratic Funding Vacuum,Quadratic Funding,"What if QF/retroPGF mechanisms don't develop further?","Public goods funding returns to grants from foundations and governments","Centralized grant committees; corporate sponsorship; traditional philanthropy",3,"Mildly Negative - coordination primitive doesn't develop but alternatives aren't terrible","Speculative - valuable if works but counterfactual isn't catastrophic",Quadratic/Retroactive Funding
Data Availability Vacuum,Data Availability Layers,"What if DA layers fail and rollups stay on Ethereum mainnet?","L2 costs remain high; scaling limited; Ethereum more centralized (hardware requirements)","Ethereum-only DA (expensive but works); highly centralized validiums; centralized rollups",3,"Mildly Negative - scaling slower but Ethereum DA isn't captured","Moderate priority - competition healthy; multiple funded players already",Data Availability Layers
Cross-Chain Bridge Vacuum,Cross-Chain Bridges,"What if secure bridges don't develop and chains remain isolated?","Users stay on single chains; liquidity fragmented; CEXs become cross-chain layer","Centralized exchange bridging (Coinbase as bridge); custodial solutions; walled gardens",2,"Moderately Negative - interoperability layer becomes centralized","Important but risky - bridge security track record is terrible",ZK-Based Cross-Chain
Privacy L2 Vacuum,Privacy Primitives,"What if Aztec and other privacy L2s fail?","DeFi remains fully transparent; financial privacy only via centralized services","Compliant privacy (Chainalysis-approved mixing); CeFi privacy; offshore banking",2,"Moderately Negative - on-chain privacy doesn't exist; TradFi remains privacy option","High priority - counterfactual clearly worse; strong d/acc alignment",Privacy-Preserving Computation
DAO Tooling Vacuum,Governance Primitives,"What if DAO governance tools don't improve?","DAOs remain ineffective; protocols revert to foundation/team control","Centralized protocol governance; benevolent dictator model; corporate structures",3,"Mildly Negative - decentralized governance fails but centralized alternatives work","Lower priority - current DAOs functional enough; improvement is incremental",N/A
Sybil Resistance Vacuum,Reputation/Sybil Resistance,"What if Sybil resistance remains unsolved?","Democratic mechanisms (QF, voting) remain gameable; plutocracy persists","One-token-one-vote dominance; KYC-gated governance; platform-controlled identity",2,"Moderately Negative - democratic primitives don't work; identity centralizes","Important - prerequisite for other d/acc mechanisms",Decentralized Identity & Attestation
Account Abstraction Vacuum,Key Management,"What if smart wallets don't achieve adoption?","Users remain on EOAs; key management stays hard; social recovery doesn't scale","Centralized custody (Coinbase); custodial wallets; bank-integrated crypto","2","Moderately Negative - self-custody remains expert-only; centralized custody wins","Moderate priority - UX improvement with d/acc benefits; competitive market",N/A
MEV Protection Vacuum,AMMs,"What if MEV protection doesn't improve?","Users continue losing value to MEV extraction; sophisticated actors dominate","Centralized order flow (payment for order flow model); private mempools; CeFi execution",2,"Moderately Negative - value extraction continues; retail disadvantaged","Moderate priority - user protection important; active development ongoing",N/A
ZK Identity Vacuum,Zero-Knowledge Identity,"What if ZK identity (Polygon ID, Semaphore) doesn't scale?","Identity verification requires full disclosure; privacy/compliance tradeoff unresolved","KYC everywhere; identity-linked transactions; financial surveillance","1","Strongly Negative - privacy and compliance become mutually exclusive","High priority - unique capability; strong d/acc alignment; Buenos Aires shows path",Decentralized Identity & Attestation
Decentralized Sequencer Vacuum,Rollups,"What if L2 sequencers remain centralized?","L2s remain censorship-capable; single points of failure persist; trust in teams required","Centralized but 'trusted' sequencers; regulated sequencer operators; KYC at sequencer level",2,"Moderately Negative - L2s don't achieve L1 properties; trust assumptions remain","Important - fundamental to L2 value proposition; timeline critical",N/A
