Name,Category,Subcategory,Description,D/acc Score,Investment Tier,Development Stage,Risk Profile,Why D/acc,Key Players,Defense Category
Consensus Mechanisms,Infrastructure,Consensus,"Distributed agreement protocols enabling trustless coordination - evolved from PoW to PoS variants. Ethereum has 800,000+ validators demonstrating decentralization.",4,Tier 2,Mature,Medium,"Enables trustless coordination without central authority; validator diversity prevents capture","Ethereum (Gasper), Solana (Tower BFT), Cosmos (Tendermint)",Cyber Defense
Data Availability Layers,Infrastructure,Data Availability,"Decentralized storage for rollup data, enabling light node verification without downloading full blocks. DA costs represent 90%+ of L2 operating expenses.",4,Tier 2,Early Growth,Medium-High,"Decentralizes critical DA bottleneck, prevents validator centralization through Data Availability Sampling","Celestia ($155M), EigenDA ($170M+), Avail ($27M)",Cyber Defense
Settlement Layers,Infrastructure,Settlement,"Base layer blockchains providing final transaction validity and security. Ethereum has $48B+ L2 TVL, Bitcoin ~$25B annual security budget.",4,Tier 2,Mature,Medium,"Provides permissionless, censorship-resistant settlement without trusted parties","Ethereum, Bitcoin, Cosmos Hub",Cyber Defense
Execution Environments,Infrastructure,Execution,"Virtual machines for smart contract computation with varying performance/decentralization tradeoffs. EVM maintains 70%+ developer share.",3,Tier 3,Growth,Medium,"Open-source execution prevents proprietary lock-in; multiple VMs enable ecosystem redundancy","EVM, Solana VM, Move VM (Aptos, Sui)",Cyber Defense
Stablecoins,Financial,Stablecoins,"Price-stable digital assets; $309B market cap, $27.6T annual volume exceeding Visa+Mastercard combined. 91% remain centralized.",2,Tier 2,Mature,Medium,"91% centralized creates concentration risk; decentralized alternatives (DAI, Ethena) preserve utility with decentralization","USDT (60%), USDC (20%), DAI, Ethena USDe",Cyber Defense
Lending/Borrowing,Financial,Lending,"Permissionless credit markets with ~$34B TVL. Flash loans enable uncollateralized borrowing within single transaction blocks.",3,Tier 3,Growth,Medium,"Removes gatekeepers from credit access; over-collateralization protects against bad actors","Aave ($10.76B TVL), Compound, Morpho Blue",Cyber Defense
Perpetual DEXs,Financial,Derivatives,"Decentralized derivatives with $1.4T+ annual volume (2024), up 872% YoY. Hyperliquid disrupted market to 64.8% share.",3,Tier 3,Growth,Medium-High,"Provides permissionless access to derivatives without centralized exchange counterparty risk","Hyperliquid (64.8%), dYdX, GMX",Cyber Defense
AMMs,Financial,DEX,"Automated market makers enabling trustless token exchange. Uniswap V3 achieves up to 4000x capital efficiency vs V2.",3,Tier 3,Mature,Medium,"Removes reliance on centralized order books; intent-based systems redirect MEV to users","Uniswap V3, Curve, CoW Protocol (63% intent trading)",Cyber Defense
Decentralized Identity (DID),Identity,DID,"Self-sovereign identity with 200+ DID methods published. W3C standards maturing. Buenos Aires deployed ZK identity for 3.6M citizens.",5,Tier 1,Early Growth,Medium-High,"Creates self-sovereign alternatives to platform-controlled credentials; individuals own and selectively disclose identity","ENS, Polygon ID, Worldcoin (9,000+ integrations)",Cyber Defense
Reputation/Sybil Resistance,Identity,Reputation,"Multi-signal identity verification protecting $380M+ in funds with 2M+ users and 34M+ credentials via Gitcoin Passport.",5,Tier 1,Growth,Medium,"Enables verification of unique humanness without centralized authority; protects against coordinated manipulation","Gitcoin Passport (Holonym), 2M+ users",Info Defense
Zero-Knowledge Identity,Identity,ZK Identity,"Privacy-preserving credential verification - prove attributes without revealing information. Semaphore powers World ID.",5,Tier 1,Early Growth,Medium-High,"Directly counters 'with modern AI to interpret it, there may be no place to hide'","Semaphore, Sismo Connect, Polygon ID (Iden3)",Cyber Defense
Attestation Infrastructure,Identity,Attestation,"On-chain credential issuance and verification. EAS enables 80% compliance cost reduction, 90% faster verification.",5,Tier 1,Growth,Medium,"Enables portable, verifiable credentials without reliance on centralized issuers","Ethereum Attestation Service (EAS), Verax",Cyber Defense
Zero-Knowledge Proofs,Privacy,ZK Infrastructure,"Verification without trust; $1.28B market (2024) projected to $7.59B by 2033 (22.1% CAGR). ZK L2 solutions: 60.7% CAGR to $90B by 2031.",5,Tier 1,Growth,Medium,"The only known technology allowing verification without trust, privacy without central authority, compliance without surveillance","zkSync, StarkNet, Polygon zkEVM, Scroll, Aztec",Cyber Defense
Fully Homomorphic Encryption (FHE),Privacy,FHE,"Computation on encrypted data. Zama achieved unicorn status ($130M). Current 20 TPS, targeting 1,000 TPS with ASIC hardware.",5,Tier 1,Very Early,Very High,"Enables encrypted data processing, preventing AI systems from accessing raw information - the final frontier of on-chain privacy","Zama ($130M), Aztec Network ($100M)",Cyber Defense
MPC (Multi-Party Computation),Privacy,MPC,"Distributed key management and computation across parties without revealing inputs.",4,Tier 2,Early Growth,Medium-High,"Eliminates single points of failure in key custody; enables cooperation without revealing sensitive data","Lit Protocol, ZenGo, Fireblocks",Cyber Defense
Voting Mechanisms,Governance,Voting,"On-chain governance with token-based, quadratic, conviction, and holographic consensus variants. Average participation only 17-28%.",4,Tier 2,Growth,Medium,"Enables broader participation in decisions; quadratic voting reduces plutocratic dominance through square-root weighting","Snapshot, Tally, Aragon",Info Defense
Treasury Management,Governance,Treasury,"Streaming payments and DAO treasury infrastructure. $34B total DAO treasury holdings. Sablier pioneered token streaming.",3,Tier 3,Growth,Medium,"Enables real-time treasury flows without discrete approval bottlenecks","Sablier, Superfluid, Safe",Cyber Defense
Multisig Infrastructure,Coordination,Multisig,"Multi-signature authentication securing $100B+ in assets across 7M+ accounts with 30M+ transactions via Safe.",4,Tier 2,Mature,Low,"Eliminates single points of failure in asset custody; enables social recovery without central custodians","Safe (Gnosis Safe), Argent",Cyber Defense
Quadratic Funding,Coordination,Public Goods Funding,"Mathematically amplifies small contributions; $60M+ distributed via Gitcoin, 400x matching multipliers demonstrated.",4,Tier 2,Early Growth,Medium-High,"Enables collective prioritization of public goods without centralized allocation","Gitcoin, Allo Protocol, Optimism RetroPGF ($100M+)",Info Defense
Impact Certificates (Hypercerts),Coordination,Impact Verification,"Tokenized impact claims (extended ERC-1155) with 10,000+ in circulation, 20,000+ unique addresses.",4,Tier 2,Early,High,"Enables retroactive funding of public goods with verifiable impact","Hypercerts, EasyRetroPGF",Info Defense
Cross-Chain Bridges,Interoperability,Bridges,"~$1.4B TVL despite $2.8B+ historical exploit losses (40% of Web3 hacks). ZK-based bridges emerging as safer.",2,Tier 3,Growth,High,"Necessary for ecosystem connectivity but centralization tendencies create caution; ZK-based variants offer higher alignment","LayerZero ($304M TVL), Wormhole ($850M TVL), Axelar",Cyber Defense
Intent-Based Systems,Interoperability,Intents,"Solver competition for optimal execution. CoW Protocol commands 63% of intent trading with $2.4B monthly volume.",3,Tier 3,Growth,Medium,"Redirects MEV value back to users as price improvement","CoW Protocol, UniswapX",Cyber Defense
Decentralized Storage,Data/Storage,Storage,"Filecoin (22 exabytes capacity) vs Arweave ($9-12/GB for ~200-year permanent storage). 414% storage growth.",4,Tier 2,Growth,Medium,"Ensures data availability without platform dependency, preventing AI/corporations from controlling information access","Filecoin, Arweave (~140TB Permaweb)",Cyber Defense
Oracle Infrastructure,Data/Storage,Oracles,"Off-chain data feeds. Chainlink 46-58% market share. Pyth grew 46x in 2024. Chronicle 61% cheaper operation.",3,Tier 3,Mature,Medium,"Critical middleware but market concentration creates d/acc tension; emerging networks with decentralized architecture preferred","Chainlink ($20-39B TVS), Pyth ($4.7B TVS), Chronicle, RedStone",Cyber Defense
Indexing,Data/Storage,Indexing,"Blockchain data queryability. The Graph covers 40+ blockchains with $3.4B GRT growth. Subsquid 100-1000x faster.",3,Tier 3,Growth,Medium,"Enables decentralized data access for dApps without centralized APIs","The Graph, Subsquid",Cyber Defense
Key Management,Security,Key Management,"MPC wallets, smart contract wallets (ERC-4337), social recovery. Combines MPC generation with smart contract features.",4,Tier 2,Growth,Medium,"Eliminates single points of failure; social recovery enables key restoration without central custodians","Safe, Argent, ZenGo",Cyber Defense
Audit Mechanisms,Security,Auditing,"Security verification. $3.1B losses in H1 2025 alone. Immunefi paid $155M+ to whitehats. Code4rena warden model.",3,Tier 3,Mature,Medium,"Creates economic incentives for defensive security research","Trail of Bits, OpenZeppelin, Spearbit, Immunefi, Code4rena",Cyber Defense
Rollups,Scalability,Rollups,"Optimistic (83-85% share, 7-day finality) vs ZK (15-17%, instant validity proofs). ZK rollups growing rapidly.",4,Tier 2,Growth,Medium,"Scales blockchain without sacrificing decentralization; ZK rollups preserve privacy","Arbitrum, Optimism, Base, zkSync, StarkNet, Scroll",Cyber Defense
EIP-4844 / Danksharding,Scalability,Protocol Upgrades,"Blob transactions (March 2024) with 10-100x fee reductions. Full Danksharding targets 100,000 TPS on rollups.",4,Tier 2,Early Growth,Medium,"Removes infrastructure bottleneck for decentralized scaling at protocol level","Ethereum core protocol",Cyber Defense
