Name,Category,Description,Investment Tier,Stage,Token,Token Symbol,Key Differentiator,D/acc Score
Varro Inc.,Biodefense & Health Systems,Biodefense technology company,Tier 2,Development/Testnet,FALSE,,Pathogen early warning systems,75
Pathoplexus,Biodefense & Health Systems,Pathogen detection and monitoring platform,Tier 2,Development/Testnet,FALSE,,Open source pathogen surveillance,72
OSLUV,Biodefense & Health Systems,Open source UV air purification systems,Tier 2,Mainnet,FALSE,,Decentralized air quality defense,70
Openwater,Biodefense & Health Systems,Non-invasive medical imaging technology,Tier 2,Development/Testnet,FALSE,,Affordable medical diagnostics,68
MediLedger,Biodefense & Health Systems,Pharmaceutical supply chain verification,Tier 2,Mainnet,FALSE,,Drug authenticity verification,72
GrapheneOS,Open Source Hardware & Silicon,Privacy-focused mobile operating system,Tier 1,Mainnet,FALSE,,Hardened Android without Google,88
Freedom Factory (ethOS),Open Source Hardware & Silicon,Ethereum-native mobile operating system,Tier 2,Development/Testnet,FALSE,,Web3-native mobile OS,70
Nanographs,Open Source Hardware & Silicon,Open source semiconductor technology,Tier 3,Development/Testnet,FALSE,,Open silicon design,62
Open Silicon Initiatives,Open Source Hardware & Silicon,Open source silicon and hardware design,Tier 3,Development/Testnet,FALSE,,RISC-V and open hardware,65
k-scale,Resilient Manufacturing,Open source robotics and manufacturing,Tier 2,Development/Testnet,FALSE,,Democratized robotics,68
SalvageGarden,Resilient Manufacturing,Accessible mobility and assistive technology,Tier 3,Development/Testnet,FALSE,,Open source accessibility,58
Simula,Resilient Manufacturing,Open source VR/AR computing platform,Tier 3,Development/Testnet,FALSE,,Decentralized spatial computing,60
Power Ledger,Decentralized Energy,Peer-to-peer energy trading platform,Tier 2,Mainnet,TRUE,POWR,Blockchain energy marketplace,72
Energy Web Foundation,Decentralized Energy,Open-source blockchain for energy sector,Tier 2,Mainnet,TRUE,EWT,Energy sector infrastructure,70
Georgia Land Registry,Property Rights & Registries,Government blockchain land registry,Tier 2,Mainnet,FALSE,,First national land registry on blockchain,75
Dubai Property Platform,Property Rights & Registries,Blockchain-based property registration,Tier 2,Mainnet,FALSE,,Government-backed property chain,72
Rwanda Cadastre,Property Rights & Registries,Decentralized land registration system,Tier 2,Development/Testnet,FALSE,,African land rights digitization,68
RealT,Property Rights & Registries,Tokenized real estate ownership,Tier 2,Mainnet,TRUE,REALT,Fractional property ownership,70
Toucan Protocol,Carbon & Environmental Markets,On-chain carbon credit infrastructure,Tier 2,Mainnet,TRUE,TCO2,Carbon tokenization standard,72
KlimaDAO,Carbon & Environmental Markets,Decentralized carbon offsetting,Tier 2,Mainnet,TRUE,KLIMA,Carbon-backed treasury,68
Verra,Carbon & Environmental Markets,Carbon credit standards (centralization concern),Tier 3,Mainnet,FALSE,,Legacy carbon registry - centralization risk,55
Better.SG,Civic Tech,Singapore civic tech collective,Tier 3,Mainnet,FALSE,,Community-driven civic tools,60
Edible Garden City,Civic Tech,Urban farming and food sovereignty,Tier 3,Mainnet,FALSE,,Local food resilience,58
Soil Social,Civic Tech,Regenerative agriculture coordination,Tier 3,Development/Testnet,FALSE,,Soil health coordination,56
Chiang Mai Maker Club,Civic Tech,Open source maker community,Tier 3,Mainnet,FALSE,,Southeast Asian maker movement,55
Aztec Network,Zero-Knowledge Systems,Private smart contracts on Ethereum,Tier 1,Development/Testnet,FALSE,,Programmable privacy with noir,92
zkSync,Zero-Knowledge Systems,ZK rollup for Ethereum scaling,Tier 1,Mainnet,TRUE,ZK,ZK rollup with account abstraction,88
