Name,Description,Current Market Size,2030+ Projection,CAGR,Transformation Timeline,Key Implementations,Required Primitives,Regulatory Context,Key Institutional Players,D/acc Alignment
Financial Services / Banking,"Cross-border payments, settlement, custody, compliance automation. JPMorgan Kinexys processing up to $2B daily.","JPMorgan Kinexys $2B daily; $900B+ since 2020",$34 trillion TAM (cross-border),N/A,Already Deployed,"JPMorgan Kinexys, DTCC tokenization pilot (Russell 1000, Treasuries), Ripple (300+ financial institutions)","Identity/Attestation, Settlement, Compliance Automation, Custody","EU MiCA, US GENIUS Act, SEC approval (DTCC)","JPMorgan, DTCC, Ripple, Deutsche Bank, HSBC",3
Capital Markets / RWA Tokenization,"Tokenization of real-world assets including securities, bonds, treasuries. BlackRock BUIDL reached $2.9B AUM.","$2.08T current (private credit $14B, treasuries $8.2B)","$3.5-30T median $13.55T",45.46%,3-5 Years,"Securitize ($500M+ issuance, BlackRock $47M funding), European Investment Bank €100M digital bond on Ethereum","Identity, Settlement, Oracles, Tokenization","SEC/FINRA accreditation, EU MiCA","BlackRock (BUIDL $2.9B AUM), Securitize, Franklin Templeton",3
Real Estate,"Land registries, fractional ownership, property tokenization. Georgia has 100,000+ titles on Bitcoin blockchain.","$3.5B fractional ownership (2024)","$19.4B by 2033 (fractional)",21%,3-5 Years,"Georgia (100,000+ titles on Bitcoin, 2M+ records), Sweden (ChromaWay, 1M+ properties), Dubai (XRP Ledger), RealT (2,500+ properties, 40,000+ investors)","Identity, Settlement, Tokenization, Oracles","Reg D, Reg A+, Reg CF (US securities)","Georgia government, Sweden Lantmäteriet, Dubai Land Department",4
Supply Chain / Logistics,"Traceability, provenance, pharmaceutical tracking. MediLedger reduced verification from 48 hours to sub-second.","MediLedger consortium (24+ companies), IBM Food Trust","$97.17B by 2032 (food traceability)",11.20%,Already Deployed (pharma),"MediLedger (DSCSA compliance, Pfizer, McKesson), IBM Food Trust (Walmart mango: 6 days → 2.2 seconds), VeChain (23+ Walmart China lines)","Oracles, Identity, Privacy (ZK for competitive confidentiality)","DSCSA (US pharma), FDA pilot participation","Pfizer, McKesson, Cardinal Health, Walmart",4
Energy / Carbon Markets,"Renewable energy trading, carbon credit tokenization, grid management. Power Ledger achieved 30% renewable autonomy.","Energy Web Foundation $90M tokens; Power Ledger deployments",$265.58B by 2033,71.14%,3-5 Years (energy),"Power Ledger (30% renewable autonomy at Chiang Mai, 142 buildings), KlimaDAO (17M+ tonnes CO2-equivalent)","Oracles, Marketplaces, Identity, Verification","Carbon credit standards (Verra halted tokenization 2022)","Shell, Centrica, Tokyo Electric Power (Energy Web partners)",4
Healthcare,"Medical records, pharmaceutical tracking, clinical trials. Estonia KSI Blockchain secures national health since 2011.","$831M (2024)","$178.91B by 2034",N/A (massive growth),Already Deployed (pharma tracking),"Estonia KSI Blockchain (national health since 2011), MediLedger (pharmaceutical DSCSA)","Privacy (ZK/FHE), Identity, Storage, Compliance","HIPAA, GDPR, DSCSA","Estonia government, MediLedger consortium",5
Insurance,"Parametric insurance, claims automation, reinsurance. Arbol provides AI-powered weather insurance with Chainlink oracles.",Emerging,$40.6B by 2033,N/A,3-5 Years,"Arbol (AI-powered weather insurance with Chainlink), dRe Platform (first on-chain parametric reinsurance), Etherisc (flight delays, crop)","Oracles, Smart Contracts, Identity","Insurance regulations (state-by-state US)","Arbol, Etherisc",4
Governance / E-Voting,"Electronic voting, AGM voting, DAO governance. Estonia achieved >50% votes cast online in 2023 (first globally).","$170M DAO tooling (2024)","$333M by 2031 (DAO tooling)",N/A,Already Deployed (Estonia),"Estonia (>50% votes online 2023 - first globally), Abu Dhabi Securities Exchange (AGM voting 2024), Broadridge (80% US outstanding shares)","Identity (ZK), Voting Mechanisms, Privacy","Election laws, securities regulations","Estonia government, Broadridge, Abu Dhabi SE",5
Public Goods / Social Coordination,"Quadratic funding, retroactive public goods funding, mutual aid. Gitcoin distributed $60M+ with 400x matching multipliers.","$60M+ via Gitcoin; $100M+ committed by Optimism",Expanding with ecosystem growth,N/A,Already Deployed,"Gitcoin Grants ($60M+), Optimism RetroPGF (850M OP long-term, 501+ projects), Allo Protocol","Quadratic Funding, Identity/Sybil Resistance, Impact Verification",Minimal (crypto-native),"Gitcoin, Optimism, Ethereum Foundation",5
Art / Media,"NFTs, decentralized streaming, creator royalties. Audius partnered with ICE enabling 330,000+ rights holders globally.","~$35B (down from $414B peak May 2022)",Uncertain - market transforming,Negative (contracting),Already Deployed but transforming,"Audius (330,000+ rights holders via ICE), Livepeer ($48M raised, video transcoding), Theta Network (30,000+ edge nodes)","NFTs, Streaming Infrastructure, Royalty Enforcement","Copyright, IP law","OpenSea, Audius, Livepeer",3
